"iso","umd_tree_cover_extent_2000__ha","area__ha"
"LBR",9384713.47510005240912397,9591801.58297115978869261
"LBY",6833.00933028952058192,161606184.8479434841467087
"LCA",50731.18581796213811152,61447.62916553653023161
"LIE",9077.337999985892977876,16203.8093219298403717
"LKA",3939923.71486806513831421,6583727.01456335690767339
"LSO",6051.93664161026836187,3054531.16285639454851621
"LTU",2336226.279164943659203904,6501662.939354114115864816
"LUX",101326.48540681975786325,258155.73939616083915109
"LVA",3553506.464905767496898466,6470996.26092465405942496
"MAC",413.1857473977963103,3412.78642429265890496
"MAF",1849.57709341619084498,5616.34278553873862317
"MAR",648568.62339050581326314,41348767.35079896199103133
"MCO",0.3916300133007813,235.29748447853303349
"MDA",356012.10175025362653424,3390780.839077732447494467
"MDG",17141085.63788061810242809,59144707.32516677241743264
"MDV",5569.75391625988632287,27912.71303579203558581
"MEX",53177141.60100869006426100,195185464.54582010114293492
"MKD",781684.41677569808867017,2482514.9576145233241210
"MLI",25097.99975557761345725,125119256.16729545661228149
"MLT",116.70431756518230328,32334.79077928859713268
"MMR",42863374.09366565458495113,66929667.32947999900648734
"MNE",616440.456206306377449905,1333523.258734443242423459
"MNG",4090464.88650359076377171,156624744.504993105717627961
"MOZ",28917947.26893718418123807,78729716.65135535043429893
"MRT",33.31622286066296336,104117150.64117217873633776
"MSR",4582.52725114229857412,10061.8220791477154335
"MTQ",74649.67904764347230958,111787.95517227370067386
"MUS",71304.81704856900881267,191366.76446961126351332
"MWI",1521821.68799237259606122,11802885.39490328615153207
"MYS",29430562.39760460880670373,32938348.75983515622164395
"MYT",33577.05042572003180766,39165.17965126974256218
"NAM",3835.35235433686041479,82385622.18475385407141913
"NCL",1440330.50387032918001112,1882559.40746865289953785
"NER",2.32870724518934513,118366970.16952199887067476
"NFK",0.0,4062.59887483270595
"NGA",10048731.32858055647968731,90840998.02039910744867071
"NIC",7776807.52116436567084604,12821978.47609522260750159
"NLD",593051.675286914058561364,3766566.364398996266167596
"NOR",11739521.784679626581599219,32512221.025825926603495735
"NPL",5161040.90247137434185662,14766249.54440743522528955
"NRU",0.0,2215.2335263393702
"NZL",11255742.600712101980853742,26716575.124389169496400068
"OMN",0.3597874400195312,30933274.08645123563678469
"PAK",978655.889162504749051665,87417630.59556703658311101
"PAN",5700499.75915411702974405,7510419.90445353331411671
"PER",78087222.68306219616359000,129281868.51759540817943692
"PHL",18599416.94134113164459190,29585658.16289541065035241
"PLW",41263.46520917831814206,48743.20538078799796578
"PNG",42921809.05075395295546588,46363061.21418392268273298
"POL",10439489.725114999117675104,31239917.80009552272338598
"PRI",523696.33607200501384416,897037.27464474141961892
"PRK",5196389.714276725335776896,12275519.138587364620517638
"PRT",2302481.42451336271691658,8955505.678182834866852915
"PRY",24296867.55250777740594575,39958667.52153217847642586
"PSE",614.76689884244761172,621996.68332012788433132
"QAT",0.0,1162493.79962663965301785
"REU",170474.525072917366211,251271.105014711451067
"ROU",7915161.125357486807587397,23833793.638779258913710215
"RUS",761226496.941587724437464768,1689455451.854777451140552996
"RWA",497885.77544611319887852,2527769.91218262231289947
"SAU",6.80771239235242946,191598433.63238646415343523
"SDN",72712.56006031869372024,187213491.71256351962621880
"SEN",39568.36253797178686003,19688982.71259515249448692
"SGP",18784.23099652324168302,69703.69605878368901085
"SJM",0.0,5442472.3736774274374
"SLB",2741617.78668098023155606,2853324.00584823550659267
"SLE",5617878.28584869317246608,7260135.88614752161399942
"SLV",988823.30823611995195803,2042272.85894926503091787
"SMR",829.5404327158807827,6122.352960187077976
"SOM",87128.07478370866992332,63353849.52120362956402221
"SPM",5454.07197222312136397,22663.41677143620788113
"SRB",2730300.36042790529966522,7823140.49142832657051436
"SSD",11386560.10479218968265665,62809870.69840365214787621
"STP",14213.57470684864175404,100217.9877254075333042
